Países Europeos,Ubicación Embajada,Capital
Alemania,"52.5077843,13.3517587",Berlín
Austria,"48.1998585,16.3700744",Vienna
Bélgica,"50.8083158,4.3849209",Bruselas
Dinamarca,"55.6864627,12.5918263",Copenhagen
España,"40.4160947,-3.6973632",Madrid
Finlandia,"60.1685662,24.9351516",Helsinki
Francia,"48.8648275,2.292344",Paris
Grecia,"37.9773269,23.7406908",Atenas
Hungría,"47.516701,19.0278825",Budapest
Irlanda,"53.3303151,-6.2387368",Dublin
Italia,"41.9133032,12.5097257",Roma
Países Bajos,"52.0899761,4.3059916",Amsterdam
Polonia,"52.22499,20.99128",Warsaw
Portugal,"38.7375761,-9.2019543",Lisboa
Reino Unido,"51.513845,-0.1422097",Londres
República Checa,"50.0801273,14.4168633",Prague
Rumanía,"50.0801273,14.4168633",Bucharest
Suecia,"59.3320685,18.0830599",Stockolmo